NODES GPUS_USED SIZE FEATURES TIME(s)
1 2 10000 2 1.2416
1 2 100000 2 1.6336
1 2 1000000 2 6.9222
1 2 10000000 2 94.9402
1 2 10000 4 2.0069
1 2 100000 4 2.7267
1 2 1000000 4 14.0213
1 2 10000000 4 194.5537
1 2 10000 6 3.2133
1 2 100000 6 4.1921
1 2 1000000 6 21.5307
1 2 10000000 6 293.8948
1 2 10000 8 4.5788
1 2 100000 8 6.0616
1 2 1000000 8 30.0807
1 2 10000000 8 402.6915
1 2 10000 10 6.7708
1 2 100000 10 8.4181
1 2 1000000 10 39.6167
1 2 10000000 10 512.1214
1 2 10000 12 9.1217
1 2 100000 12 11.7028
1 2 1000000 12 49.7676
1 2 10000000 12 625.2205
1 2 10000 14 12.0811
1 2 100000 14 14.6508
1 2 1000000 14 61.1899
1 2 10000000 14 744.6928
1 2 10000 16 15.7521
1 2 100000 16 18.8849
1 2 1000000 16 73.0602
1 2 10000000 16 859.9478
1 2 10000 18 19.2830
1 2 100000 18 23.2095
1 2 1000000 18 85.9202
1 2 10000000 18 977.8010
1 2 10000 20 23.7958
1 2 100000 20 27.9037
1 2 1000000 20 99.4364
1 2 10000000 20 1117.1104
