NODES GPUS_USED SIZE FEATURES TIME(s)
1 0 10000 2 0.0313
1 0 100000 2 0.3618
1 0 1000000 2 5.5780
1 0 10000000 8 396.1762
1 0 10000 10 0.2258
1 0 100000 10 2.3007
1 0 1000000 10 33.6577
1 0 10000000 2 90.4442
1 0 10000 4 0.0668
1 0 100000 4 0.7617
1 0 1000000 4 11.7381
1 0 10000000 4 185.9949
1 0 10000 6 0.1127
1 0 100000 6 1.2337
1 0 1000000 6 18.2063
1 0 10000000 10 510.8229
1 0 10000 12 0.3003
1 0 100000 12 2.9680
1 0 10000000 6 285.9124
1 0 10000 8 0.1647
1 0 100000 8 1.7217
1 0 1000000 8 25.5228
1 0 1000000 12 42.4053
1 0 10000000 8 395.6988
1 0 10000 10 0.2305
1 0 100000 10 2.2939
1 0 1000000 10 33.3555
1 0 10000000 12 634.8238
1 0 10000 14 0.3822
1 0 100000 14 3.6488
1 0 1000000 14 50.6873
1 0 10000000 10 507.2500
1 0 10000 12 0.2908
1 0 100000 12 2.8975
1 0 1000000 12 41.6463
1 0 10000000 14 755.0339
1 0 10000 16 0.4586
1 0 100000 16 4.3414
1 0 1000000 16 60.1277
1 0 10000000 12 625.9275
1 0 10000 14 0.3668
1 0 100000 14 3.5621
1 0 1000000 14 50.5293
1 0 10000000 16 890.5880
1 0 10000 18 0.5389
1 0 100000 18 5.1837
1 0 10000000 14 757.4523
1 0 10000 16 0.4780
1 0 100000 16 4.3262
1 0 1000000 18 70.5596
1 0 1000000 16 60.4580
1 0 10000000 16 886.4612
1 0 10000 18 0.5521
1 0 100000 18 5.1109
1 0 1000000 18 69.8276
1 0 10000000 18 1032.3925
1 0 10000 20 0.6482
1 0 100000 20 6.8086
1 0 1000000 20 81.0317
1 0 10000000 18 1015.0231
1 0 10000 20 0.6552
1 0 100000 20 6.6489
1 0 1000000 20 80.6875
1 0 10000000 20 1156.4234
1 0 10000000 20 1168.7920
